bamboula
bamboulas
bite
bordel
boucaque
bougnoul
branler
branlette
branleur
branleuse
burne
caca
chiasse
chier
chieur
chieuse
chiotte
chiottes
chiure
chlingue
chlinguer
clito
con
conard
connard
connasse
conne
couille
couilles
couillon
cul
degueulasse
ducon
ejaculation
ejaculer
emmerdeur
encule
enculer
enculeur
fatma
femmelette
fion
fiote
fiotte
fuck
fucking
gonzesse
gouine
judensau
masturbation
merde
merder
merdique
motherfucker
moudlabite
necropedophile
necrophile
necrophilie
negre
negresse
negro
niakoue
niakouee
niaque
niaquee
niaquoue
niaquouee
partouze
pd
pede
pederaste
pedophile
petasse
petasse
pisse
pisser
pouffiasse
pussy
putasserie
pute
putte
salaud
salopard
salope
saloppe
sans couilles
scatophile
scatophilie
shit
shitting
shitty
sodomite
tafiole
tantouse
tarlouze
transexuel
trou de balle
trou du cul
verge
youpin
youpine
zezette
zigounette
